cust_key,name,email_address,mobile_number,signup_city,signup_country
CUST1,Matthew Hughes,gonzalezjesse@example.net,001-243-841-7858,East Daniel,French Guiana
CUST2,Brian Hayes,laurengonzalez@example.org,+1-279-554-1172,Jamesfurt,Myanmar
CUST3,Justin Johnson,katie25@example.net,(534)936-6800x6968,Lake Grace,Saudi Arabia
CUST4,Ronnie Sawyer,robertjohnson@example.net,464.274.8682x725,New Melissa,Georgia
CUST5,Julie Jones,rhansen@example.com,(513)247-6150x23227,Lake Michellehaven,Brunei Darussalam
CUST6,Philip Moore,xpetty@example.org,001-612-563-5403,Moonfurt,Comoros
CUST7,Andrea Esparza,mark13@example.com,(745)859-4950x4820,West Brandon,Tunisia
CUST8,Ian Palmer,jking@example.org,980.766.9489x8180,Lake Allison,Madagascar
CUST9,Jason Price,meghandudley@example.org,+1-629-557-9715x227,Anitaberg,Mexico
CUST10,Louis Thomas,williamsadam@example.com,358-978-6792x094,Greenville,North Macedonia
CUST11,Kim Watson,michael26@example.org,(817)395-4539,Troyfort,Botswana
CUST12,George Rivas,perryjonathan@example.com,459.235.5171x8077,New Laura,Fiji
CUST13,Melody Chang,ygomez@example.com,+1-478-240-5198x67729,Lake Meganhaven,Falkland Islands (Malvinas)
CUST14,Krista Roberts,wshelton@example.org,267.954.9408,Baileyton,Montserrat
CUST15,Lorraine Braun,ugrant@example.net,(641)508-6836x7023,Lake Mackenziehaven,Sierra Leone
CUST16,Mrs. Karen Marshall,emily88@example.com,779.267.0921x606,New Stacy,Dominican Republic
CUST17,Melissa Parks,amanda24@example.org,001-461-901-0535x8533,New Jon,Iran
CUST18,Jennifer Moreno,ashleymack@example.org,+1-678-386-8953x51698,Arianafort,Malaysia
CUST19,Daniel Sanford,wigginsmark@example.org,+1-914-610-8320x0111,Steelefurt,British Indian Ocean Territory (Chagos Archipelago)
CUST20,Daniel Jones,jesse55@example.net,001-639-258-8110,Laurenfort,Dominica
CUST21,Anna Ayala,richardsonkimberly@example.net,001-915-980-0284,North Daniel,Mozambique
CUST22,Gerald Hughes,ytaylor@example.net,763-274-3984x59967,East Tombury,Bahrain
CUST23,Victoria Bailey,walkerkristin@example.net,+1-202-350-3458x082,Jasonview,Taiwan
CUST24,Robert Solis,teresa39@example.net,384-719-6391,Hansentown,Spain
CUST25,Jennifer Kline,jamesmorris@example.org,403-428-8448x338,West Penny,American Samoa
CUST26,Lauren Morales,uzimmerman@example.net,555.298.0513,Ashleyville,Bermuda
CUST27,Nancy Miller,gcole@example.net,822.963.5407x494,Micheleview,Greece
CUST28,Caitlin Evans,michael11@example.com,963-671-7184x26774,Sandovalmouth,Antigua and Barbuda
CUST29,Alex Farrell MD,brownethan@example.org,(896)284-8650x1187,Youngshire,Taiwan
CUST30,Carolyn Webb,swilson@example.net,(953)898-4632x0751,Thomasside,Eritrea
CUST31,Ms. April Henry,gonzalezedward@example.org,681-429-6959x685,Lake Kariport,Ukraine
CUST32,Julia Rhodes,ellislaurie@example.com,(939)672-6232,North Jamesfort,Yemen
CUST33,Karen Rollins,kellikim@example.com,925-865-8632,West Ericside,Bahamas
CUST34,William Mclean,richard65@example.com,(297)684-3840,New Andrew,Italy
CUST35,Daniel Ramirez,browndaniel@example.net,(865)339-2318,Smithbury,Saint Martin
CUST36,Susan Benitez,jeffreydoyle@example.org,(362)835-1382x5894,South Shawnchester,Nauru
CUST37,Alicia Hernandez,mary92@example.net,+1-532-864-3736x25484,North Mary,Angola
CUST38,Jessica Lam,lewisandrea@example.com,242-364-0537,Oneillville,Liberia
CUST39,Melinda Martin,andersenlisa@example.net,635.792.1910x7839,Haynesborough,New Caledonia
CUST40,Heather Garcia,jacqueline23@example.org,944.593.7194,South Davidmouth,Sudan
CUST41,John Ray,frankweeks@example.org,470-308-4386x2880,Port Briana,North Macedonia
CUST42,Alan Norton,meaganpowell@example.com,(583)431-1578x02520,Port Josephview,Cote d'Ivoire
CUST43,Donald Navarro,hmills@example.com,345-723-5806x7701,West Emilyview,Ghana
CUST44,Anthony Perkins,evargas@example.net,001-706-409-8764,Sandraland,Wallis and Futuna
CUST45,Janet Torres,amberbrown@example.org,001-704-478-8686x78801,Mercadoborough,Northern Mariana Islands
CUST46,Crystal Cox,fcampbell@example.org,001-887-597-5529x67268,East Matthewton,Estonia
CUST47,Robert Cox,jeremyhughes@example.net,(696)274-7270,Nathanchester,Dominican Republic
CUST48,Michael Kim,warnerdavid@example.org,621-841-9544x6061,Barnettside,Mauritius
CUST49,Regina Garcia,umcdowell@example.net,5484114852,Bowenmouth,Chad
CUST50,Angela Garrett,abigail98@example.org,+1-784-854-6513,Cynthiaside,Korea
CUST51,James Stone,samuelrodriguez@example.net,001-293-394-6757x6096,Port Elizabethmouth,Argentina
CUST52,Samantha Martinez,igallagher@example.com,(832)355-8898x960,Marshallhaven,Dominican Republic
CUST53,Dan Mckinney,blittle@example.com,529.261.4280x23903,West Melanie,United States Virgin Islands
CUST54,Emily Garcia,dcarlson@example.org,(893)238-0827,Benderside,Jordan
CUST55,Wendy Harrington,fwolf@example.com,+1-619-642-4726x378,North Danielle,Palestinian Territory
CUST56,Kelli Ferguson,deanburns@example.org,908-325-3305x9245,West Nicolechester,Paraguay
CUST57,Jason Ross,pgonzalez@example.org,243-540-5405,New Nancy,Jamaica
CUST58,Judith Yoder,kevans@example.org,+1-858-474-1323x942,East Megan,Papua New Guinea
CUST59,Patrick Wise,eileenallen@example.org,+1-697-919-3220x5715,Victorville,Grenada
CUST60,Mark Williamson,amckinney@example.net,(971)983-3462x5745,New Robertberg,Iraq
CUST61,Kathryn Young,stephanie56@example.org,+1-645-287-8335x9435,Hernandezton,Nicaragua
CUST62,Shelby Jordan,lrodriguez@example.com,001-362-829-6169x91827,Deanton,Palau
CUST63,Kyle Gibson,michael88@example.net,792-408-6998x3905,Timothyberg,United States of America
CUST64,John Thomas,tfleming@example.org,471.988.4613,West Andrea,Taiwan
CUST65,Daniel Martin,greensandra@example.org,(725)335-9699,Lake Eddiehaven,United States Virgin Islands
CUST66,Robert Odom,stephanie51@example.org,001-564-779-7130x1322,Randystad,Cuba
CUST67,Tony Shaw Jr.,steven34@example.org,+1-421-948-7382,West Janice,Philippines
